dummy_field	id_set_1	name_set_1	id_set_2	name_set_2
0.94	112839	id_157503	25476	id_36345
1.0	161109	id_224666	158904	id_221593
1.0	172234	id_239945	117130	id_163383
1.0	139265	id_194064	18448	id_26809
0.9	166444	id_231997	159443	id_222190
0.88	161130	id_224687	96559	id_134706
1.0	107322	id_150004	27347	id_38752
1.0	155644	id_217114	115054	id_160573
1.0	101303	id_141702	67845	id_95885
1.0	69866	id_98532	27719	id_39555
1.0	43771	id_62343	43756	id_62328
1.0	93492	id_130826	93488	id_130821
0.95	166444	id_231997	45814	id_65395
0.94	155407	id_216703	27010	id_38320
1.0	37474	id_53788	37270	id_53572
1.0	66047	id_93461	66037	id_93449
0.91	107651	id_150544	84129	id_119021
1.0	168029	id_234114	168015	id_234099
1.0	178961	id_248763	77784	id_110504
1.0	147681	id_205699	147658	id_205667
1.0	161416	id_224998	107299	id_149937
1.0	62371	id_88646	62364	id_88639
1.0	124099	id_173112	33080	id_46925
1.0	30927	id_44081	30917	id_44071
0.95	161106	id_224663	18445	id_26804
1.0	161390	id_224972	140895	id_196597
1.0	23244	id_33295	23212	id_33260
1.0	162385	id_226493	105766	id_147786
1.0	32111	id_45736	32023	id_45645
1.0	115582	id_161204	115573	id_161194
1.0	186603	id_259311	123344	id_172169
1.0	127946	id_178592	64378	id_91214
1.0	113311	id_158198	97269	id_135862
1.0	175812	id_244864	156553	id_218485
1.0	165789	id_230984	62179	id_88406
1.0	69609	id_98120	69589	id_98100
1.0	40592	id_57879	40565	id_57852
1.0	107411	id_150111	30555	id_43512
1.0	95372	id_133170	60890	id_86702
1.0	159871	id_222921	159869	id_222919
0.88	161130	id_224687	47595	id_68006
1.0	108240	id_151297	30158	id_42910
1.0	140899	id_196601	140769	id_196463
0.93	186465	id_259143	89921	id_126550
1.0	23244	id_33295	23235	id_33286
1.0	138471	id_192890	138443	id_192860
1.0	139262	id_194057	104670	id_146361
1.0	14130	id_20304	14129	id_20303
1.0	124099	id_173112	33073	id_46918
0.9	181781	id_252491	27285	id_38598
1.0	33046	id_46870	22200	id_31913
1.0	90936	id_127686	90903	id_127653
1.0	90745	id_127434	90722	id_127411
0.96	166444	id_231997	69864	id_98530
1.0	139277	id_194111	107293	id_149923
1.0	118241	id_164881	118138	id_164768
0.93	174920	id_243689	174879	id_243646
1.0	61310	id_87310	33046	id_46870
1.0	34066	id_48451	34044	id_48429
1.0	73931	id_105116	16265	id_23457
0.9	88579	id_124917	88544	id_124865
1.0	132957	id_185442	132950	id_185434
1.0	159150	id_221856	159138	id_221843
1.0	172975	id_240948	172960	id_240933
1.0	124317	id_173434	124315	id_173431
1.0	145747	id_203108	107016	id_149474
0.88	93505	id_130840	93499	id_130833
1.0	145747	id_203108	107014	id_149472
0.98	93604	id_130950	39376	id_56208
1.0	104413	id_146077	104411	id_146075
0.89	78463	id_111586	78372	id_111494
1.0	84866	id_120165	84853	id_120152
1.0	180951	id_251416	112677	id_157192
1.0	97168	id_135711	97141	id_135683
1.0	117122	id_163374	117121	id_163373
1.0	122312	id_170665	122311	id_170664
1.0	129713	id_181122	123324	id_172145
1.0	95417	id_133229	78287	id_111399
1.0	102947	id_143860	102885	id_143756
1.0	129713	id_181122	123300	id_172120
1.0	107290	id_149911	3614	id_5402
1.0	170918	id_238197	170794	id_238072
1.0	112094	id_156432	18937	id_27478
1.0	136144	id_189938	70210	id_99144
1.0	155117	id_216186	46460	id_66602
1.0	150135	id_209235	150111	id_209211
0.99	154993	id_216019	45814	id_65395
1.0	97951	id_136821	97939	id_136803
1.0	145345	id_202561	145328	id_202544
0.98	123700	id_172529	29287	id_41574
1.0	102358	id_143064	91887	id_128993
1.0	172229	id_239939	117120	id_163372
1.0	114737	id_160169	15535	id_22429
0.99	138742	id_193229	72542	id_103026
1.0	132241	id_184458	132129	id_184345
1.0	124786	id_174153	7065	id_10549
0.9	127946	id_178592	9546	id_14002
1.0	36816	id_52837	36809	id_52830
1.0	41311	id_58770	41269	id_58727
1.0	91910	id_129016	46428	id_66508
1.0	173294	id_241411	173288	id_241405
1.0	139893	id_195150	27319	id_38684
1.0	171981	id_239638	161194	id_224763
0.96	121024	id_168829	47457	id_67868
1.0	59662	id_84937	52298	id_74418
1.0	49204	id_70159	49201	id_70156
0.88	78149	id_111238	78128	id_111216
0.96	90831	id_127550	90755	id_127473
1.0	176604	id_245810	176561	id_245767
1.0	161416	id_224998	62096	id_88323
1.0	139893	id_195150	27324	id_38690
1.0	145345	id_202561	145340	id_202556
0.91	178775	id_248484	69869	id_98536
1.0	91968	id_129088	12855	id_18537
1.0	79258	id_112681	32080	id_45704
1.0	136225	id_190029	105765	id_147781
1.0	119014	id_166146	118841	id_165967
0.94	92838	id_129983	92481	id_129626
1.0	139893	id_195150	91819	id_128925
1.0	151932	id_211801	118221	id_164858
1.0	28464	id_40414	28419	id_40368
1.0	151932	id_211801	118213	id_164850
1.0	151195	id_210781	107403	id_150087
0.89	154912	id_215873	8567	id_12632
1.0	92865	id_130010	5221	id_7743
1.0	136225	id_190029	105768	id_147805
0.98	178758	id_248467	178592	id_248301
1.0	8531	id_12596	8528	id_12593
0.92	109266	id_152490	12856	id_18538
0.88	89840	id_126422	89634	id_126199
1.0	172256	id_239976	3169	id_4736
1.0	43580	id_62151	43564	id_62127
1.0	131232	id_183154	36557	id_52492
0.93	150450	id_209595	73847	id_105008
1.0	165044	id_230004	21103	id_30374
1.0	140500	id_196116	113758	id_158852
1.0	146861	id_204682	140995	id_196783
1.0	58823	id_83714	58819	id_83695
0.91	25241	id_35933	9608	id_14064
1.0	58823	id_83714	58818	id_83690
1.0	81391	id_115541	81371	id_115521
1.0	161513	id_225100	161354	id_224936
1.0	142672	id_198863	142338	id_198526
